scope,policy,experiment_label,run,metric,hybrid_wait_weight,hybrid_distance_weight,count,total,mean,min,max
experiment,FIFO,FIFO,ALL,return_time,,,5,100.500,20.100,10.590,35.100
experiment,FIFO,FIFO,ALL,total_time,,,8,331.620,41.453,9.920,82.660
experiment,FIFO,FIFO,ALL,wait_time,,,8,315.230,39.404,7.870,80.610
experiment,HYBRID,HYBRID_w1_d25,ALL,return_time,1,25,5,100.500,20.100,10.590,35.100
experiment,HYBRID,HYBRID_w1_d25,ALL,total_time,1,25,8,331.620,41.453,9.920,82.660
experiment,HYBRID,HYBRID_w1_d25,ALL,wait_time,1,25,8,315.230,39.404,7.870,80.610
experiment,HYBRID,HYBRID_w1_d30,ALL,return_time,1,30,5,100.500,20.100,10.590,35.100
experiment,HYBRID,HYBRID_w1_d30,ALL,total_time,1,30,8,303.690,37.961,9.920,82.660
experiment,HYBRID,HYBRID_w1_d30,ALL,wait_time,1,30,8,287.290,35.911,7.870,80.610
experiment,HYBRID,HYBRID_w1_d35,ALL,return_time,1,35,5,100.500,20.100,10.590,35.100
experiment,HYBRID,HYBRID_w1_d35,ALL,total_time,1,35,8,303.690,37.961,9.920,82.660
experiment,HYBRID,HYBRID_w1_d35,ALL,wait_time,1,35,8,287.290,35.911,7.870,80.610
experiment,HYBRID,HYBRID_w1_d40,ALL,return_time,1,40,5,100.500,20.100,10.590,35.100
experiment,HYBRID,HYBRID_w1_d40,ALL,total_time,1,40,8,303.690,37.961,9.920,82.660
experiment,HYBRID,HYBRID_w1_d40,ALL,wait_time,1,40,8,287.290,35.911,7.870,80.610
experiment,HYBRID,HYBRID_w1_d50,ALL,return_time,1,50,6,122.610,20.435,10.590,35.100
experiment,HYBRID,HYBRID_w1_d50,ALL,total_time,1,50,9,360.200,40.022,9.920,101.310
experiment,HYBRID,HYBRID_w1_d50,ALL,wait_time,1,50,9,341.750,37.972,7.870,99.260
experiment,NEAREST,NEAREST,ALL,return_time,,,7,112.950,16.136,4.770,35.100
experiment,NEAREST,NEAREST,ALL,total_time,,,9,269.000,29.889,7.710,75.070
experiment,NEAREST,NEAREST,ALL,wait_time,,,9,250.550,27.839,5.660,73.020
policy,FIFO,FIFO,ALL,return_time,,,5,100.500,20.100,10.590,35.100
policy,FIFO,FIFO,ALL,total_time,,,8,331.620,41.453,9.920,82.660
policy,FIFO,FIFO,ALL,wait_time,,,8,315.230,39.404,7.870,80.610
policy,HYBRID,HYBRID,ALL,return_time,1,50,26,524.610,20.177,10.590,35.100
policy,HYBRID,HYBRID,ALL,total_time,1,50,41,1602.890,39.095,9.920,101.310
policy,HYBRID,HYBRID,ALL,wait_time,1,50,41,1518.850,37.045,7.870,99.260
policy,NEAREST,NEAREST,ALL,return_time,,,7,112.950,16.136,4.770,35.100
policy,NEAREST,NEAREST,ALL,total_time,,,9,269.000,29.889,7.710,75.070
policy,NEAREST,NEAREST,ALL,wait_time,,,9,250.550,27.839,5.660,73.020
run,FIFO,FIFO,FIFO-r1,return_time,,,2,31.740,15.870,12.220,19.520
run,FIFO,FIFO,FIFO-r1,total_time,,,3,94.620,31.540,9.920,55.100
run,FIFO,FIFO,FIFO-r1,wait_time,,,3,88.480,29.493,7.870,53.060
run,FIFO,FIFO,FIFO-r2,return_time,,,1,23.070,23.070,23.070,23.070
run,FIFO,FIFO,FIFO-r2,total_time,,,2,111.750,55.875,29.090,82.660
run,FIFO,FIFO,FIFO-r2,wait_time,,,2,107.650,53.825,27.040,80.610
run,FIFO,FIFO,FIFO-r3,return_time,,,2,45.690,22.845,10.590,35.100
run,FIFO,FIFO,FIFO-r3,total_time,,,3,125.250,41.750,12.130,67.710
run,FIFO,FIFO,FIFO-r3,wait_time,,,3,119.100,39.700,10.080,65.660
run,HYBRID,HYBRID_w1_d25,HYBRID_w1_d25-r1,return_time,1,25,2,31.740,15.870,12.220,19.520
run,HYBRID,HYBRID_w1_d25,HYBRID_w1_d25-r1,total_time,1,25,3,94.620,31.540,9.920,55.100
run,HYBRID,HYBRID_w1_d25,HYBRID_w1_d25-r1,wait_time,1,25,3,88.480,29.493,7.870,53.060
run,HYBRID,HYBRID_w1_d25,HYBRID_w1_d25-r2,return_time,1,25,1,23.070,23.070,23.070,23.070
run,HYBRID,HYBRID_w1_d25,HYBRID_w1_d25-r2,total_time,1,25,2,111.750,55.875,29.090,82.660
run,HYBRID,HYBRID_w1_d25,HYBRID_w1_d25-r2,wait_time,1,25,2,107.650,53.825,27.040,80.610
run,HYBRID,HYBRID_w1_d25,HYBRID_w1_d25-r3,return_time,1,25,2,45.690,22.845,10.590,35.100
run,HYBRID,HYBRID_w1_d25,HYBRID_w1_d25-r3,total_time,1,25,3,125.250,41.750,12.130,67.710
run,HYBRID,HYBRID_w1_d25,HYBRID_w1_d25-r3,wait_time,1,25,3,119.100,39.700,10.080,65.660
run,HYBRID,HYBRID_w1_d30,HYBRID_w1_d30-r1,return_time,1,30,2,31.740,15.870,12.220,19.520
run,HYBRID,HYBRID_w1_d30,HYBRID_w1_d30-r1,total_time,1,30,3,66.690,22.230,9.920,29.600
run,HYBRID,HYBRID_w1_d30,HYBRID_w1_d30-r1,wait_time,1,30,3,60.540,20.180,7.870,27.550
run,HYBRID,HYBRID_w1_d30,HYBRID_w1_d30-r2,return_time,1,30,1,23.070,23.070,23.070,23.070
run,HYBRID,HYBRID_w1_d30,HYBRID_w1_d30-r2,total_time,1,30,2,111.750,55.875,29.090,82.660
run,HYBRID,HYBRID_w1_d30,HYBRID_w1_d30-r2,wait_time,1,30,2,107.650,53.825,27.040,80.610
run,HYBRID,HYBRID_w1_d30,HYBRID_w1_d30-r3,return_time,1,30,2,45.690,22.845,10.590,35.100
run,HYBRID,HYBRID_w1_d30,HYBRID_w1_d30-r3,total_time,1,30,3,125.250,41.750,12.130,67.710
run,HYBRID,HYBRID_w1_d30,HYBRID_w1_d30-r3,wait_time,1,30,3,119.100,39.700,10.080,65.660
run,HYBRID,HYBRID_w1_d35,HYBRID_w1_d35-r1,return_time,1,35,2,31.740,15.870,12.220,19.520
run,HYBRID,HYBRID_w1_d35,HYBRID_w1_d35-r1,total_time,1,35,3,66.690,22.230,9.920,29.600
run,HYBRID,HYBRID_w1_d35,HYBRID_w1_d35-r1,wait_time,1,35,3,60.540,20.180,7.870,27.550
run,HYBRID,HYBRID_w1_d35,HYBRID_w1_d35-r2,return_time,1,35,1,23.070,23.070,23.070,23.070
run,HYBRID,HYBRID_w1_d35,HYBRID_w1_d35-r2,total_time,1,35,2,111.750,55.875,29.090,82.660
run,HYBRID,HYBRID_w1_d35,HYBRID_w1_d35-r2,wait_time,1,35,2,107.650,53.825,27.040,80.610
run,HYBRID,HYBRID_w1_d35,HYBRID_w1_d35-r3,return_time,1,35,2,45.690,22.845,10.590,35.100
run,HYBRID,HYBRID_w1_d35,HYBRID_w1_d35-r3,total_time,1,35,3,125.250,41.750,12.130,67.710
run,HYBRID,HYBRID_w1_d35,HYBRID_w1_d35-r3,wait_time,1,35,3,119.100,39.700,10.080,65.660
run,HYBRID,HYBRID_w1_d40,HYBRID_w1_d40-r1,return_time,1,40,2,31.740,15.870,12.220,19.520
run,HYBRID,HYBRID_w1_d40,HYBRID_w1_d40-r1,total_time,1,40,3,66.690,22.230,9.920,29.600
run,HYBRID,HYBRID_w1_d40,HYBRID_w1_d40-r1,wait_time,1,40,3,60.540,20.180,7.870,27.550
run,HYBRID,HYBRID_w1_d40,HYBRID_w1_d40-r2,return_time,1,40,1,23.070,23.070,23.070,23.070
run,HYBRID,HYBRID_w1_d40,HYBRID_w1_d40-r2,total_time,1,40,2,111.750,55.875,29.090,82.660
run,HYBRID,HYBRID_w1_d40,HYBRID_w1_d40-r2,wait_time,1,40,2,107.650,53.825,27.040,80.610
run,HYBRID,HYBRID_w1_d40,HYBRID_w1_d40-r3,return_time,1,40,2,45.690,22.845,10.590,35.100
run,HYBRID,HYBRID_w1_d40,HYBRID_w1_d40-r3,total_time,1,40,3,125.250,41.750,12.130,67.710
run,HYBRID,HYBRID_w1_d40,HYBRID_w1_d40-r3,wait_time,1,40,3,119.100,39.700,10.080,65.660
run,HYBRID,HYBRID_w1_d50,HYBRID_w1_d50-r1,return_time,1,50,2,31.740,15.870,12.220,19.520
run,HYBRID,HYBRID_w1_d50,HYBRID_w1_d50-r1,total_time,1,50,3,66.690,22.230,9.920,29.600
run,HYBRID,HYBRID_w1_d50,HYBRID_w1_d50-r1,wait_time,1,50,3,60.540,20.180,7.870,27.550
run,HYBRID,HYBRID_w1_d50,HYBRID_w1_d50-r2,return_time,1,50,2,45.180,22.590,22.110,23.070
run,HYBRID,HYBRID_w1_d50,HYBRID_w1_d50-r2,total_time,1,50,3,168.260,56.087,29.090,101.310
run,HYBRID,HYBRID_w1_d50,HYBRID_w1_d50-r2,wait_time,1,50,3,162.110,54.037,27.040,99.260
