experiment_label,policy,repeat,run,seed,max_completed,max_sim_time,stop_delay,first_period,min_period,max_period,hybrid_wait_weight,hybrid_distance_weight,log
FIFO,FIFO,1,FIFO-r1,2001,3,180,10,5,8,16,1,0,FIFO-r1.log
FIFO,FIFO,2,FIFO-r2,2002,3,180,10,5,8,16,1,0,FIFO-r2.log
FIFO,FIFO,3,FIFO-r3,2003,3,180,10,5,8,16,1,0,FIFO-r3.log
NEAREST,NEAREST,1,NEAREST-r1,2001,3,180,10,5,8,16,1,0,NEAREST-r1.log
NEAREST,NEAREST,2,NEAREST-r2,2002,3,180,10,5,8,16,1,0,NEAREST-r2.log
NEAREST,NEAREST,3,NEAREST-r3,2003,3,180,10,5,8,16,1,0,NEAREST-r3.log
HYBRID_w1_d25,HYBRID,1,HYBRID_w1_d25-r1,2001,3,180,10,5,8,16,1,25,HYBRID_w1_d25-r1.log
HYBRID_w1_d25,HYBRID,2,HYBRID_w1_d25-r2,2002,3,180,10,5,8,16,1,25,HYBRID_w1_d25-r2.log
HYBRID_w1_d25,HYBRID,3,HYBRID_w1_d25-r3,2003,3,180,10,5,8,16,1,25,HYBRID_w1_d25-r3.log
HYBRID_w1_d30,HYBRID,1,HYBRID_w1_d30-r1,2001,3,180,10,5,8,16,1,30,HYBRID_w1_d30-r1.log
HYBRID_w1_d30,HYBRID,2,HYBRID_w1_d30-r2,2002,3,180,10,5,8,16,1,30,HYBRID_w1_d30-r2.log
HYBRID_w1_d30,HYBRID,3,HYBRID_w1_d30-r3,2003,3,180,10,5,8,16,1,30,HYBRID_w1_d30-r3.log
HYBRID_w1_d35,HYBRID,1,HYBRID_w1_d35-r1,2001,3,180,10,5,8,16,1,35,HYBRID_w1_d35-r1.log
HYBRID_w1_d35,HYBRID,2,HYBRID_w1_d35-r2,2002,3,180,10,5,8,16,1,35,HYBRID_w1_d35-r2.log
HYBRID_w1_d35,HYBRID,3,HYBRID_w1_d35-r3,2003,3,180,10,5,8,16,1,35,HYBRID_w1_d35-r3.log
HYBRID_w1_d40,HYBRID,1,HYBRID_w1_d40-r1,2001,3,180,10,5,8,16,1,40,HYBRID_w1_d40-r1.log
HYBRID_w1_d40,HYBRID,2,HYBRID_w1_d40-r2,2002,3,180,10,5,8,16,1,40,HYBRID_w1_d40-r2.log
HYBRID_w1_d40,HYBRID,3,HYBRID_w1_d40-r3,2003,3,180,10,5,8,16,1,40,HYBRID_w1_d40-r3.log
HYBRID_w1_d50,HYBRID,1,HYBRID_w1_d50-r1,2001,3,180,10,5,8,16,1,50,HYBRID_w1_d50-r1.log
HYBRID_w1_d50,HYBRID,2,HYBRID_w1_d50-r2,2002,3,180,10,5,8,16,1,50,HYBRID_w1_d50-r2.log
HYBRID_w1_d50,HYBRID,3,HYBRID_w1_d50-r3,2003,3,180,10,5,8,16,1,50,HYBRID_w1_d50-r3.log
