simulation_id,experiment,dynamic_environment,policy,last_table,total_requests,completed_requests,success_rate,mission_time,distance,avg_speed,collisions,avg_wait,avg_delivery,avg_return
2,EXP1,False,NEAREST,T2,1,1,1.0,10.112000000000002,0.1299537972371631,0.012851443555890336,0,4.064000000000001,4.032000000000001,4.064
2,EXP1,False,NEAREST,T4,2,2,1.0,13.696000000000002,0.3396288479265521,0.024797667050712038,0,4.928000000000001,4.896000000000001,4.992000000000001
2,EXP1,False,NEAREST,T6,3,3,1.0,34.848000000000006,1.1902028840562802,0.03415412316506772,2,10.624,8.704,8.832000000000003
2,EXP1,False,NEAREST,T5,4,4,1.0,17.75999999999999,0.4529354576359806,0.02550312261463856,3,17.328000000000003,8.528,8.560000000000002
2,EXP1,False,NEAREST,T1,5,5,1.0,15.00800000000001,0.3951369181436542,0.026328419385904446,4,22.2528,8.102400000000001,8.166400000000001
2,EXP1,False,NEAREST,T4,6,6,1.0,13.983999999999995,0.36525269931926013,0.02611932918472971,4,21.488000000000003,7.8133333333333335,7.738666666666667
2,EXP1,False,NEAREST,T4,7,7,1.0,126.912,1.7422432614494128,0.013727963166992978,65,19.68914285714286,7.593142857142858,23.579428571428572
2,EXP1,False,NEAREST,T2,8,8,1.0,11.52000000000001,0.2212383781742894,0.019204720327629272,65,29.3,7.211999999999999,21.252000000000002
2,EXP1,False,NEAREST,T2,9,9,1.0,9.056000000000012,0.09319357249331033,0.010290809683448565,65,26.744888888888887,6.787555555555551,19.296000000000006
3,EXP1,False,NEAREST,T5,1,1,1.0,17.727999999999998,0.46310435865007,0.026122763913022904,0,7.6160000000000005,7.5840000000000005,8.127999999999998
3,EXP1,False,NEAREST,T2,2,2,1.0,11.36,0.19245485027614875,0.016941448087689152,0,9.024,6.0,6.527999999999998
3,EXP1,False,NEAREST,T5,3,3,1.0,17.792,0.4454635810351832,0.02503729659595229,0,10.005333333333335,6.6560000000000015,6.954666666666665
3,EXP1,False,NEAREST,T4,4,4,1.0,138.816,1.8969751749370185,0.013665392857718263,67,9.808000000000002,6.672000000000001,37.736000000000004
3,EXP1,False,NEAREST,T2,5,5,1.0,11.391999999999996,0.21806998638529498,0.01914237942286649,67,29.171200000000006,6.227200000000002,31.174400000000002
3,EXP1,False,NEAREST,T2,6,6,1.0,8.99199999999999,0.09321615428458378,0.010366565200687709,67,25.450666666666667,5.7493333333333325,26.581333333333333
3,EXP1,False,NEAREST,T1,7,7,1.0,15.584000000000003,0.3088443869619741,0.019818043311214964,68,47.44685714285715,5.9154285714285715,23.734857142857145
3,EXP1,False,NEAREST,T2,8,8,1.0,10.304000000000002,0.1045349226337447,0.010145081777343233,68,43.716,5.676,21.304
3,EXP1,False,NEAREST,T2,9,9,1.0,10.144000000000005,0.10130100475618214,0.009986297787478518,68,39.56622222222222,5.482666666666668,19.402666666666665
3,EXP1,False,NEAREST,T2,10,10,1.0,10.208000000000027,0.1029218566980175,0.010082470287815167,68,36.1152,5.3344000000000005,17.881600000000002
