experiment_label,experiment_mode,dynamic_environment,policy,repeat,run,seed,max_completed,max_sim_time,stop_delay,first_period,min_period,max_period,hybrid_wait_weight,hybrid_distance_weight,log
EXP1_STATIC,EXP1,false,NEAREST,1,EXP1_STATIC-1,3001,10,420,5,5,8,16,1,30,logs/EXP1_STATIC-1.log
EXP1_STATIC,EXP1,false,NEAREST,2,EXP1_STATIC-2,3002,10,420,5,5,8,16,1,30,logs/EXP1_STATIC-2.log
EXP1_STATIC,EXP1,false,NEAREST,3,EXP1_STATIC-3,3003,10,420,5,5,8,16,1,30,logs/EXP1_STATIC-3.log
EXP1_STATIC,EXP1,false,NEAREST,4,EXP1_STATIC-4,3004,10,420,5,5,8,16,1,30,logs/EXP1_STATIC-4.log
EXP1_STATIC,EXP1,false,NEAREST,5,EXP1_STATIC-5,3005,10,420,5,5,8,16,1,30,logs/EXP1_STATIC-5.log
EXP1_DYNAMIC,EXP1,true,NEAREST,1,EXP1_DYNAMIC-1,3001,10,420,5,5,8,16,1,30,logs/EXP1_DYNAMIC-1.log
EXP1_DYNAMIC,EXP1,true,NEAREST,2,EXP1_DYNAMIC-2,3002,10,420,5,5,8,16,1,30,logs/EXP1_DYNAMIC-2.log
EXP1_DYNAMIC,EXP1,true,NEAREST,3,EXP1_DYNAMIC-3,3003,10,420,5,5,8,16,1,30,logs/EXP1_DYNAMIC-3.log
EXP1_DYNAMIC,EXP1,true,NEAREST,4,EXP1_DYNAMIC-4,3004,10,420,5,5,8,16,1,30,logs/EXP1_DYNAMIC-4.log
EXP1_DYNAMIC,EXP1,true,NEAREST,5,EXP1_DYNAMIC-5,3005,10,420,5,5,8,16,1,30,logs/EXP1_DYNAMIC-5.log
EXP2_STATIC,EXP2,false,NEAREST,1,EXP2_STATIC-1,3001,10,420,5,5,8,16,1,30,logs/EXP2_STATIC-1.log
EXP2_STATIC,EXP2,false,NEAREST,2,EXP2_STATIC-2,3002,10,420,5,5,8,16,1,30,logs/EXP2_STATIC-2.log
EXP2_STATIC,EXP2,false,NEAREST,3,EXP2_STATIC-3,3003,10,420,5,5,8,16,1,30,logs/EXP2_STATIC-3.log
EXP2_STATIC,EXP2,false,NEAREST,4,EXP2_STATIC-4,3004,10,420,5,5,8,16,1,30,logs/EXP2_STATIC-4.log
