"simulation_id","experiment","map_id","dynamic_environment","policy","last_table","total_requests","completed_requests","success_rate","mission_time","distance","avg_speed","collisions","avg_wait","avg_delivery","avg_return"
"1","EXP1","map1","False","NEAREST","T2","10","10","1.0","11.039999999999992","0.23082185037553565","0.020907776302131868","18","37.248000000000005","8.4544","9.5584"
"2","EXP1","map1","False","NEAREST","T2","10","10","1.0","11.744","0.1717520280276711","0.014624661787097334","14","18.531200000000002","8.563199999999998","7.664000000000004"
"3","EXP1","map1","False","NEAREST","T2","10","10","1.0","11.77600000000001","0.17493758181639804","0.014855433238484875","7","17.318400000000004","5.590400000000001","11.609600000000002"
"4","EXP1","map1","True","NEAREST","T2","9","9","1.0","11.808000000000021","0.18432727133360735","0.015610371894783792","33","21.39377777777778","9.472","8.82488888888889"
"5","EXP1","map1","True","NEAREST","T2","10","10","1.0","11.328000000000003","0.17141240310770264","0.015131744624620639","17","17.5328","6.5024","9.414399999999997"
"6","EXP1","map1","True","NEAREST","T2","9","9","1.0","13.056000000000012","0.19215173129425278","0.01471750392878773","15","21.952000000000005","7.036444444444447","8.451555555555556"
"7","EXP2","map1","False","NEAREST","T3","1","1","1.0","124.448","1.816199550000019","0.014594043696965955","6","61.568","61.536","60.89599999999999"
"8","EXP2","map1","False","NEAREST","T2","1","1","1.0","249.376","2.3867108600000457","0.009570731987039834","25","181.312","181.28","66.08000000000001"
"9","EXP2","map1","False","NEAREST","T5","1","1","1.0","244.128","2.7432562900000326","0.011236958849456156","31","229.824","229.792","12.319999999999993"
"11","EXP2","map1","True","NEAREST","T2","2","2","1.0","72.096","0.7181760900000564","0.009961386068576016","21","75.696","60.16","25.263999999999996"
"12","EXP2","map1","True","NEAREST","T2","2","2","1.0","262.88","2.490990260000212","0.009475769400487721","52","203.08799999999997","159.904","18.543999999999983"
"13","EXP1","map2","False","NEAREST","T2","9","9","1.0","2.0800000000000125","5.491949039770959e-06","2.6403601152744836e-06","10","25.50044444444445","8.003555555555558","7.758222222222224"
"14","EXP1","map2","False","NEAREST","T2","10","10","1.0","2.079999999999984","4.611046890596121e-06","2.2168494666327673e-06","8","23.0368","7.292799999999997","7.577599999999999"
"15","EXP1","map2","False","NEAREST","T2","9","9","1.0","2.079999999999984","4.626917612515025e-06","2.2244796214014713e-06","8","30.577777777777783","7.637333333333334","7.683555555555553"
"16","EXP1","map2","True","NEAREST","T2","9","9","1.0","2.079999999999984","6.750491130687883e-06","3.245428428215353e-06","15","25.63555555555556","8.391111111111108","7.886222222222222"
"17","EXP1","map2","True","NEAREST","T2","9","9","1.0","2.079999999999984","6.504782770527707e-06","3.1272994089075756e-06","15","22.439111111111114","7.182222222222219","6.9262222222222185"
"18","EXP1","map2","True","NEAREST","T2","9","9","1.0","2.0800000000000125","3.921357285516914e-06","1.8852679257292742e-06","17","24.88177777777778","7.637333333333334","6.677333333333335"
"20","EXP2","map2","False","NEAREST","T1","9","9","1.0","19.456000000000017","0.19697220000001311","0.010123982319079612","3","29.184000000000008","9.713777777777784","11.185777777777776"
"21","EXP2","map2","False","NEAREST","T2","9","9","1.0","15.232","0.1141923800000187","0.007496873686976018","3","33.632","11.92888888888889","8.75022222222222"
"22","EXP2","map2","True","NEAREST","T1","9","9","1.0","20.159999999999997","0.2164763100000165","0.010737912202381772","10","34.86577777777778","12.94222222222222","9.472000000000001"
"23","EXP2","map2","True","NEAREST","T2","10","10","1.0","11.135999999999996","0.07402550000001415","0.006647404813219664","12","20.9344","9.331199999999995","7.529600000000004"
"24","EXP2","map2","True","NEAREST","T2","9","9","1.0","14.879999999999995","0.09153414000001056","0.0061514879032265185","11","31.367111111111107","10.993777777777776","9.784888888888885"
