simulation_id,event_type,table_id,value,timestamp
1,request,,1,
2,request,,1,
2,wait_time,T6,270.144,
2,delivery_time,T6,270.112,
2,completion,,1,
2,return_time,T6,41.40799999999996,
2,request,,2,
3,request,,1,
3,wait_time,T6,270.144,
3,delivery_time,T6,270.112,
3,completion,,1,
3,return_time,T6,41.40799999999996,
3,request,,2,
4,request,,1,
4,wait_time,T4,36.128,
4,delivery_time,T4,36.096000000000004,
4,completion,,1,
4,return_time,T4,23.232000000000006,
4,request,,2,
4,wait_time,T2,23.840000000000003,
4,delivery_time,T2,13.471999999999994,
4,completion,,2,
4,return_time,T2,6.847999999999999,
4,request,,3,
4,wait_time,T4,300.352,
4,delivery_time,T4,297.344,
4,completion,,3,
4,return_time,T4,13.920000000000016,
4,request,,4,
5,request,,1,
6,request,,1,
