scope,policy,run,metric,count,total,mean,min,max
policy,FIFO,ALL,return_time,2,23.970,11.985,4.290,19.680
policy,FIFO,ALL,total_time,2,50.490,25.245,13.660,36.830
policy,FIFO,ALL,wait_time,2,46.400,23.200,11.620,34.780
policy,HYBRID,ALL,return_time,2,23.970,11.985,4.290,19.680
policy,HYBRID,ALL,total_time,2,50.490,25.245,13.660,36.830
policy,HYBRID,ALL,wait_time,2,46.400,23.200,11.620,34.780
policy,NEAREST,ALL,return_time,2,23.970,11.985,4.290,19.680
policy,NEAREST,ALL,total_time,2,50.490,25.245,13.660,36.830
policy,NEAREST,ALL,wait_time,2,46.400,23.200,11.620,34.780
run,FIFO,FIFO-1,return_time,2,23.970,11.985,4.290,19.680
run,FIFO,FIFO-1,total_time,2,50.490,25.245,13.660,36.830
run,FIFO,FIFO-1,wait_time,2,46.400,23.200,11.620,34.780
run,HYBRID,HYBRID-1,return_time,2,23.970,11.985,4.290,19.680
run,HYBRID,HYBRID-1,total_time,2,50.490,25.245,13.660,36.830
run,HYBRID,HYBRID-1,wait_time,2,46.400,23.200,11.620,34.780
run,NEAREST,NEAREST-1,return_time,2,23.970,11.985,4.290,19.680
run,NEAREST,NEAREST-1,total_time,2,50.490,25.245,13.660,36.830
run,NEAREST,NEAREST-1,wait_time,2,46.400,23.200,11.620,34.780
