metric,policy,run,table,source_log,line,avg,base_at,completed_at,count,done_at,experiment_label,first_period,hybrid_distance_weight,hybrid_wait_weight,max,max_completed,max_period,max_sim_time,min_period,pending_wait,repeat,requested_at,return,seed,served_at,stop_at,stop_delay,total,wait
wait_time,FIFO,FIFO-1,T1,FIFO-1.log,196,10.08s,,,1,,FIFO,5,30,1,10.08s,10,16,420,8,,1,5.02,,1001,15.10,,5,,10.08s
total_time,FIFO,FIFO-1,T1,FIFO-1.log,224,,,17.15,1,,FIFO,5,30,1,,10,16,420,8,,1,5.02,,1001,,,5,12.13s,
return_time,FIFO,FIFO-1,T1,FIFO-1.log,615,35.10s,52.22,,1,17.12,FIFO,5,30,1,35.10s,10,16,420,8,,1,,35.10s,1001,,,5,,
wait_time,FIFO,FIFO-1,T2,FIFO-1.log,666,23.52s,,,2,,FIFO,5,30,1,36.96s,10,16,420,8,,1,19.14,,1001,56.10,,5,,36.96s
total_time,FIFO,FIFO-1,T2,FIFO-1.log,692,,,58.14,2,,FIFO,5,30,1,,10,16,420,8,,1,19.14,,1001,,,5,39.01s,
return_time,FIFO,FIFO-1,T2,FIFO-1.log,743,19.65s,62.30,,2,58.11,FIFO,5,30,1,35.10s,10,16,420,8,,1,,4.19s,1001,,,5,,
wait_time,FIFO,FIFO-1,T1,FIFO-1.log,1069,34.27s,,,3,,FIFO,5,30,1,55.78s,10,16,420,8,,1,34.05,,1001,89.82,,5,,55.78s
total_time,FIFO,FIFO-1,T1,FIFO-1.log,1097,,,91.87,3,,FIFO,5,30,1,,10,16,420,8,,1,34.05,,1001,,,5,57.82s,
return_time,FIFO,FIFO-1,T1,FIFO-1.log,1186,15.71s,99.68,,3,91.84,FIFO,5,30,1,35.10s,10,16,420,8,,1,,7.84s,1001,,,5,,
wait_time,FIFO,FIFO-1,T6,FIFO-1.log,1575,47.64s,,,4,,FIFO,5,30,1,87.74s,10,16,420,8,,1,46.50,,1001,134.24,,5,,87.74s
total_time,FIFO,FIFO-1,T6,FIFO-1.log,1603,,,136.29,4,,FIFO,5,30,1,,10,16,420,8,,1,46.50,,1001,,,5,89.79s,
return_time,FIFO,FIFO-1,T6,FIFO-1.log,1917,18.71s,163.97,,4,136.26,FIFO,5,30,1,35.10s,10,16,420,8,,1,,27.71s,1001,,,5,,
wait_time,FIFO,FIFO-1,T5,FIFO-1.log,2036,61.04s,,,5,,FIFO,5,30,1,114.66s,10,16,420,8,,1,60.80,,1001,175.46,,5,,114.66s
total_time,FIFO,FIFO-1,T5,FIFO-1.log,2063,,,177.50,5,,FIFO,5,30,1,,10,16,420,8,,1,60.80,,1001,,,5,116.70s,
return_time,FIFO,FIFO-1,T5,FIFO-1.log,2310,19.13s,198.27,,5,177.47,FIFO,5,30,1,35.10s,10,16,420,8,,1,,20.80s,1001,,,5,,
wait_time,FIFO,FIFO-1,T4,FIFO-1.log,2361,72.17s,,,6,,FIFO,5,30,1,127.81s,10,16,420,8,,1,74.59,,1001,202.40,,5,,127.81s
total_time,FIFO,FIFO-1,T4,FIFO-1.log,2389,,,204.45,6,,FIFO,5,30,1,,10,16,420,8,,1,74.59,,1001,,,5,129.86s,
return_time,FIFO,FIFO-1,T4,FIFO-1.log,2461,17.11s,211.42,,6,204.42,FIFO,5,30,1,35.10s,10,16,420,8,,1,,7.01s,1001,,,5,,
wait_time,FIFO,FIFO-1,T3,FIFO-1.log,2780,83.51s,,,7,,FIFO,5,30,1,151.55s,10,16,420,8,,1,87.81,,1001,239.36,,5,,151.55s
total_time,FIFO,FIFO-1,T3,FIFO-1.log,2808,,,241.41,7,,FIFO,5,30,1,,10,16,420,8,,1,87.81,,1001,,,5,153.60s,
return_time,FIFO,FIFO-1,T3,FIFO-1.log,3147,18.93s,271.20,,7,241.38,FIFO,5,30,1,35.10s,10,16,420,8,,1,,29.82s,1001,,,5,,
wait_time,FIFO,FIFO-1,T1,FIFO-1.log,3265,95.60s,,,8,,FIFO,5,30,1,180.19s,10,16,420,8,,1,102.08,,1001,282.27,,5,,180.19s
total_time,FIFO,FIFO-1,T1,FIFO-1.log,3294,,,284.32,8,,FIFO,5,30,1,,10,16,420,8,,1,102.08,,1001,,,5,182.24s,
return_time,FIFO,FIFO-1,T1,FIFO-1.log,3452,18.15s,297.02,,8,284.29,FIFO,5,30,1,35.10s,10,16,420,8,,1,,12.74s,1001,,,5,,
wait_time,FIFO,FIFO-1,T2,FIFO-1.log,3572,106.35s,,,9,,FIFO,5,30,1,192.35s,10,16,420,8,,1,114.94,,1001,307.30,,5,,192.35s
total_time,FIFO,FIFO-1,T2,FIFO-1.log,3600,,,309.34,9,,FIFO,5,30,1,,10,16,420,8,,1,114.94,,1001,,,5,194.40s,
