metric,policy,run,table,source_log,line,avg,avg_speed,completed,completed_at,count,delivery,distance,dynamic_environment,experiment_label,experiment_mode,first_period,hybrid_distance_weight,hybrid_wait_weight,map_id,max_completed,max_period,max_sim_time,min_period,rate,repeat,requested_at,return,seed,stop_delay,time,total,wait
wait_time,FIFO,1,T1,FIFO-1.log,37,5.79s,,,,,,,false,FIFO,EXP1,5,30,1,map1,10,35,420,25,,1,,,1001,5,,,5.79s
delivery_time,FIFO,1,T1,FIFO-1.log,38,,,,,,5.76s,,false,FIFO,EXP1,5,30,1,map1,10,35,420,25,,1,,,1001,5,,,
total_time,FIFO,FIFO-1,T1,FIFO-1.log,46,,,,12.86,1,,,false,FIFO,EXP1,5,30,1,map1,10,35,420,25,,1,5.02,,1001,5,,7.84s,
return_time,FIFO,1,T1,FIFO-1.log,58,,,,,,,,false,FIFO,EXP1,5,30,1,map1,10,35,420,25,,1,,4.67s,1001,5,,,
success_rate,FIFO,1,,FIFO-1.log,59,,,1,,,,,false,FIFO,EXP1,5,30,1,map1,10,35,420,25,1.00,1,,,1001,5,,1,
mission,FIFO,1,,FIFO-1.log,60,,0.016,,,,,0.199,false,FIFO,EXP1,5,30,1,map1,10,35,420,25,,1,,,1001,5,12.45s,,
wait_time,FIFO,1,T2,FIFO-1.log,94,4.18s,,,,,,,false,FIFO,EXP1,5,30,1,map1,10,35,420,25,,1,,,1001,5,,,2.56s
delivery_time,FIFO,1,T2,FIFO-1.log,95,,,,,,2.53s,,false,FIFO,EXP1,5,30,1,map1,10,35,420,25,,1,,,1001,5,,,
total_time,FIFO,FIFO-1,T2,FIFO-1.log,103,,,,42.24,2,,,false,FIFO,EXP1,5,30,1,map1,10,35,420,25,,1,37.63,,1001,5,,4.61s,
return_time,FIFO,1,T2,FIFO-1.log,113,,,,,,,,false,FIFO,EXP1,5,30,1,map1,10,35,420,25,,1,,2.53s,1001,5,,,
success_rate,FIFO,1,,FIFO-1.log,114,,,2,,,,,false,FIFO,EXP1,5,30,1,map1,10,35,420,25,1.00,1,,,1001,5,,2,
mission,FIFO,1,,FIFO-1.log,115,,0.000,,,,,0.004,false,FIFO,EXP1,5,30,1,map1,10,35,420,25,,1,,,1001,5,7.07s,,
wait_time,FIFO,1,T1,FIFO-1.log,174,5.32s,,,,,,,false,FIFO,EXP1,5,30,1,map1,10,35,420,25,,1,,,1001,5,,,7.62s
delivery_time,FIFO,1,T1,FIFO-1.log,175,,,,,,7.58s,,false,FIFO,EXP1,5,30,1,map1,10,35,420,25,,1,,,1001,5,,,
total_time,FIFO,FIFO-1,T1,FIFO-1.log,183,,,,80.93,3,,,false,FIFO,EXP1,5,30,1,map1,10,35,420,25,,1,71.26,,1001,5,,9.66s,
return_time,FIFO,1,T1,FIFO-1.log,195,,,,,,,,false,FIFO,EXP1,5,30,1,map1,10,35,420,25,,1,,4.80s,1001,5,,,
success_rate,FIFO,1,,FIFO-1.log,196,,,3,,,,,false,FIFO,EXP1,5,30,1,map1,10,35,420,25,1.00,1,,,1001,5,,3,
mission,FIFO,1,,FIFO-1.log,197,,0.011,,,,,0.163,false,FIFO,EXP1,5,30,1,map1,10,35,420,25,,1,,,1001,5,14.40s,,
wait_time,FIFO,1,T4,FIFO-1.log,228,5.02s,,,,,,,false,FIFO,EXP1,5,30,1,map1,10,35,420,25,,1,,,1001,5,,,4.13s
delivery_time,FIFO,1,T4,FIFO-1.log,229,,,,,,4.10s,,false,FIFO,EXP1,5,30,1,map1,10,35,420,25,,1,,,1001,5,,,
total_time,FIFO,FIFO-1,T4,FIFO-1.log,237,,,,108.00,4,,,false,FIFO,EXP1,5,30,1,map1,10,35,420,25,,1,101.82,,1001,5,,6.18s,
return_time,FIFO,1,T4,FIFO-1.log,257,,,,,,,,false,FIFO,EXP1,5,30,1,map1,10,35,420,25,,1,,5.76s,1001,5,,,
success_rate,FIFO,1,,FIFO-1.log,258,,,4,,,,,false,FIFO,EXP1,5,30,1,map1,10,35,420,25,1.00,1,,,1001,5,,4,
mission,FIFO,1,,FIFO-1.log,259,,0.021,,,,,0.254,false,FIFO,EXP1,5,30,1,map1,10,35,420,25,,1,,,1001,5,11.87s,,
wait_time,FIFO,1,T4,FIFO-1.log,296,4.90s,,,,,,,false,FIFO,EXP1,5,30,1,map1,10,35,420,25,,1,,,1001,5,,,4.38s
delivery_time,FIFO,1,T4,FIFO-1.log,297,,,,,,4.35s,,false,FIFO,EXP1,5,30,1,map1,10,35,420,25,,1,,,1001,5,,,
total_time,FIFO,FIFO-1,T4,FIFO-1.log,305,,,,141.12,5,,,false,FIFO,EXP1,5,30,1,map1,10,35,420,25,,1,134.69,,1001,5,,6.43s,
return_time,FIFO,1,T4,FIFO-1.log,324,,,,,,,,false,FIFO,EXP1,5,30,1,map1,10,35,420,25,,1,,6.02s,1001,5,,,
success_rate,FIFO,1,,FIFO-1.log,325,,,5,,,,,false,FIFO,EXP1,5,30,1,map1,10,35,420,25,1.00,1,,,1001,5,,5,
mission,FIFO,1,,FIFO-1.log,326,,0.013,,,,,0.163,false,FIFO,EXP1,5,30,1,map1,10,35,420,25,,1,,,1001,5,12.38s,,
wait_time,FIFO,1,T5,FIFO-1.log,364,5.09s,,,,,,,false,FIFO,EXP1,5,30,1,map1,10,35,420,25,,1,,,1001,5,,,6.08s
delivery_time,FIFO,1,T5,FIFO-1.log,365,,,,,,6.05s,,false,FIFO,EXP1,5,30,1,map1,10,35,420,25,,1,,,1001,5,,,
total_time,FIFO,FIFO-1,T5,FIFO-1.log,371,,,,175.04,6,,,false,FIFO,EXP1,5,30,1,map1,10,35,420,25,,1,166.91,,1001,5,,8.13s,
return_time,FIFO,1,T5,FIFO-1.log,396,,,,,,,,false,FIFO,EXP1,5,30,1,map1,10,35,420,25,,1,,9.73s,1001,5,,,
success_rate,FIFO,1,,FIFO-1.log,397,,,6,,,,,false,FIFO,EXP1,5,30,1,map1,10,35,420,25,1.00,1,,,1001,5,,6,
mission,FIFO,1,,FIFO-1.log,398,,0.020,,,,,0.352,false,FIFO,EXP1,5,30,1,map1,10,35,420,25,,1,,,1001,5,17.79s,,
wait_time,FIFO,1,T4,FIFO-1.log,428,4.94s,,,,,,,false,FIFO,EXP1,5,30,1,map1,10,35,420,25,,1,,,1001,5,,,4.00s
delivery_time,FIFO,1,T4,FIFO-1.log,429,,,,,,3.97s,,false,FIFO,EXP1,5,30,1,map1,10,35,420,25,,1,,,1001,5,,,
total_time,FIFO,FIFO-1,T4,FIFO-1.log,437,,,,204.48,7,,,false,FIFO,EXP1,5,30,1,map1,10,35,420,25,,1,198.43,,1001,5,,6.05s,
return_time,FIFO,1,T4,FIFO-1.log,456,,,,,,,,false,FIFO,EXP1,5,30,1,map1,10,35,420,25,,1,,5.82s,1001,5,,,
success_rate,FIFO,1,,FIFO-1.log,457,,,7,,,,,false,FIFO,EXP1,5,30,1,map1,10,35,420,25,1.00,1,,,1001,5,,7,
mission,FIFO,1,,FIFO-1.log,458,,0.014,,,,,0.171,false,FIFO,EXP1,5,30,1,map1,10,35,420,25,,1,,,1001,5,11.81s,,
wait_time,FIFO,1,T2,FIFO-1.log,493,4.68s,,,,,,,false,FIFO,EXP1,5,30,1,map1,10,35,420,25,,1,,,1001,5,,,2.88s
delivery_time,FIFO,1,T2,FIFO-1.log,494,,,,,,2.85s,,false,FIFO,EXP1,5,30,1,map1,10,35,420,25,,1,,,1001,5,,,
total_time,FIFO,FIFO-1,T2,FIFO-1.log,502,,,,236.19,8,,,false,FIFO,EXP1,5,30,1,map1,10,35,420,25,,1,231.26,,1001,5,,4.93s,
return_time,FIFO,1,T2,FIFO-1.log,509,,,,,,,,false,FIFO,EXP1,5,30,1,map1,10,35,420,25,,1,,0.03s,1001,5,,,
success_rate,FIFO,1,,FIFO-1.log,510,,,8,,,,,false,FIFO,EXP1,5,30,1,map1,10,35,420,25,1.00,1,,,1001,5,,8,
mission,FIFO,1,,FIFO-1.log,511,,0.020,,,,,0.096,false,FIFO,EXP1,5,30,1,map1,10,35,420,25,,1,,,1001,5,4.90s,,
wait_time,FIFO,1,T1,FIFO-1.log,551,4.37s,,,,,,,false,FIFO,EXP1,5,30,1,map1,10,35,420,25,,1,,,1001,5,,,1.92s
delivery_time,FIFO,1,T1,FIFO-1.log,552,,,,,,1.89s,,false,FIFO,EXP1,5,30,1,map1,10,35,420,25,,1,,,1001,5,,,
total_time,FIFO,FIFO-1,T1,FIFO-1.log,558,,,,266.34,9,,,false,FIFO,EXP1,5,30,1,map1,10,35,420,25,,1,262.37,,1001,5,,3.97s,
return_time,FIFO,1,T1,FIFO-1.log,572,,,,,,,,false,FIFO,EXP1,5,30,1,map1,10,35,420,25,,1,,4.86s,1001,5,,,
success_rate,FIFO,1,,FIFO-1.log,573,,,9,,,,,false,FIFO,EXP1,5,30,1,map1,10,35,420,25,1.00,1,,,1001,5,,9,
mission,FIFO,1,,FIFO-1.log,574,,0.017,,,,,0.152,false,FIFO,EXP1,5,30,1,map1,10,35,420,25,,1,,,1001,5,8.77s,,
wait_time,FIFO,1,T6,FIFO-1.log,625,5.64s,,,,,,,false,FIFO,EXP1,5,30,1,map1,10,35,420,25,,1,,,1001,5,,,17.06s
