simulation_id,event_type,table_id,value,timestamp
1,request,,1,
1,wait_time,T1,5.792000000000001,
1,delivery_time,T1,5.760000000000001,
1,completion,,1,
1,return_time,T1,4.672000000000001,
1,request,,2,
1,wait_time,T2,2.5600000000000023,
1,delivery_time,T2,2.5279999999999987,
1,completion,,2,
1,return_time,T2,2.528000000000006,
1,request,,3,
1,wait_time,T1,7.616,
1,delivery_time,T1,7.583999999999989,
1,completion,,3,
1,return_time,T1,4.799999999999997,
1,request,,4,
1,wait_time,T4,4.128,
1,delivery_time,T4,4.095999999999989,
1,completion,,4,
1,return_time,T4,5.760000000000005,
1,request,,5,
1,wait_time,T4,4.3840000000000146,
1,delivery_time,T4,4.352000000000004,
1,completion,,5,
1,return_time,T4,6.0160000000000196,
1,request,,6,
1,wait_time,T5,6.079999999999984,
1,delivery_time,T5,6.047999999999973,
1,completion,,6,
1,return_time,T5,9.72799999999998,
1,request,,7,
1,wait_time,T4,4.000000000000028,
1,delivery_time,T4,3.9680000000000177,
1,completion,,7,
1,return_time,T4,5.823999999999984,
1,request,,8,
1,wait_time,T2,2.8799999999999955,
1,delivery_time,T2,2.848000000000013,
1,completion,,8,
1,return_time,T2,0.03200000000001069,
1,request,,9,
1,wait_time,T1,1.920000000000016,
1,delivery_time,T1,1.8880000000000337,
1,completion,,9,
1,return_time,T1,4.863999999999976,
1,request,,10,
1,wait_time,T6,17.055999999999983,
1,delivery_time,T6,17.024,
1,completion,,10,
2,request,,1,
2,wait_time,T5,5.696000000000001,
2,delivery_time,T5,5.664000000000001,
2,completion,,1,
2,return_time,T5,5.887999999999998,
2,request,,2,
2,wait_time,T2,4.448,
2,delivery_time,T2,4.415999999999997,
2,completion,,2,
2,return_time,T2,5.280000000000001,
2,request,,3,
2,wait_time,T3,17.60000000000001,
2,delivery_time,T3,17.568000000000005,
2,completion,,3,
2,return_time,T3,18.36800000000001,
2,request,,4,
2,wait_time,T6,24.864000000000004,
2,delivery_time,T6,16.73599999999999,
2,completion,,4,
2,return_time,T6,17.504000000000005,
2,request,,5,
2,wait_time,T1,18.304000000000002,
2,delivery_time,T1,4.768000000000001,
2,completion,,5,
2,return_time,T1,4.73599999999999,
2,request,,6,
2,wait_time,T4,4.127999999999986,
2,delivery_time,T4,4.096000000000004,
2,completion,,6,
2,return_time,T4,5.72799999999998,
2,request,,7,
2,wait_time,T2,2.9439999999999884,
2,delivery_time,T2,2.9119999999999777,
2,completion,,7,
2,return_time,T2,1.1200000000000045,
2,request,,8,
2,wait_time,T1,3.26400000000001,
