scope,policy,experiment_label,run,metric,hybrid_wait_weight,hybrid_distance_weight,count,total,mean,min,max
experiment,FIFO,FIFO,ALL,delivery_time,,,30,205.780,6.859,1.890,22.340
experiment,FIFO,FIFO,ALL,return_time,,,28,204.190,7.292,0.030,34.750
experiment,FIFO,FIFO,ALL,total_time,,,30,340.650,11.355,3.970,36.190
experiment,FIFO,FIFO,ALL,wait_time,,,30,279.200,9.307,1.920,34.140
experiment,HYBRID,HYBRID,ALL,delivery_time,1,30,30,205.780,6.859,1.890,22.340
experiment,HYBRID,HYBRID,ALL,return_time,1,30,28,204.190,7.292,0.030,34.750
experiment,HYBRID,HYBRID,ALL,total_time,1,30,30,340.650,11.355,3.970,36.190
experiment,HYBRID,HYBRID,ALL,wait_time,1,30,30,279.200,9.307,1.920,34.140
experiment,NEAREST,NEAREST,ALL,delivery_time,,,30,205.780,6.859,1.890,22.340
experiment,NEAREST,NEAREST,ALL,return_time,,,28,204.190,7.292,0.030,34.750
experiment,NEAREST,NEAREST,ALL,total_time,,,30,340.650,11.355,3.970,36.190
experiment,NEAREST,NEAREST,ALL,wait_time,,,30,279.200,9.307,1.920,34.140
policy,FIFO,FIFO,ALL,delivery_time,,,30,205.780,6.859,1.890,22.340
policy,FIFO,FIFO,ALL,return_time,,,28,204.190,7.292,0.030,34.750
policy,FIFO,FIFO,ALL,total_time,,,30,340.650,11.355,3.970,36.190
policy,FIFO,FIFO,ALL,wait_time,,,30,279.200,9.307,1.920,34.140
policy,HYBRID,HYBRID,ALL,delivery_time,1,30,30,205.780,6.859,1.890,22.340
policy,HYBRID,HYBRID,ALL,return_time,1,30,28,204.190,7.292,0.030,34.750
policy,HYBRID,HYBRID,ALL,total_time,1,30,30,340.650,11.355,3.970,36.190
policy,HYBRID,HYBRID,ALL,wait_time,1,30,30,279.200,9.307,1.920,34.140
policy,NEAREST,NEAREST,ALL,delivery_time,,,30,205.780,6.859,1.890,22.340
policy,NEAREST,NEAREST,ALL,return_time,,,28,204.190,7.292,0.030,34.750
policy,NEAREST,NEAREST,ALL,total_time,,,30,340.650,11.355,3.970,36.190
policy,NEAREST,NEAREST,ALL,wait_time,,,30,279.200,9.307,1.920,34.140
run,FIFO,FIFO,1,delivery_time,,,10,56.100,5.610,1.890,17.020
run,FIFO,FIFO,1,return_time,,,9,44.220,4.913,0.030,9.730
run,FIFO,FIFO,1,wait_time,,,10,56.420,5.642,1.920,17.060
run,FIFO,FIFO,2,delivery_time,,,10,69.640,6.964,2.910,17.570
run,FIFO,FIFO,2,return_time,,,9,69.730,7.748,1.120,18.370
run,FIFO,FIFO,2,wait_time,,,10,91.550,9.155,2.940,24.860
run,FIFO,FIFO,3,delivery_time,,,10,80.040,8.004,2.850,22.340
run,FIFO,FIFO,3,return_time,,,10,90.240,9.024,1.090,34.750
run,FIFO,FIFO,3,wait_time,,,10,131.230,13.123,2.880,34.140
run,FIFO,FIFO,FIFO-1,total_time,,,10,76.900,7.690,3.970,19.100
run,FIFO,FIFO,FIFO-2,total_time,,,10,112.030,11.203,4.990,26.910
run,FIFO,FIFO,FIFO-3,total_time,,,10,151.720,15.172,4.930,36.190
run,HYBRID,HYBRID,7,delivery_time,1,30,10,56.100,5.610,1.890,17.020
run,HYBRID,HYBRID,7,return_time,1,30,9,44.220,4.913,0.030,9.730
run,HYBRID,HYBRID,7,wait_time,1,30,10,56.420,5.642,1.920,17.060
run,HYBRID,HYBRID,8,delivery_time,1,30,10,69.640,6.964,2.910,17.570
run,HYBRID,HYBRID,8,return_time,1,30,9,69.730,7.748,1.120,18.370
run,HYBRID,HYBRID,8,wait_time,1,30,10,91.550,9.155,2.940,24.860
run,HYBRID,HYBRID,9,delivery_time,1,30,10,80.040,8.004,2.850,22.340
run,HYBRID,HYBRID,9,return_time,1,30,10,90.240,9.024,1.090,34.750
run,HYBRID,HYBRID,9,wait_time,1,30,10,131.230,13.123,2.880,34.140
run,HYBRID,HYBRID,HYBRID-1,total_time,1,30,10,76.900,7.690,3.970,19.100
run,HYBRID,HYBRID,HYBRID-2,total_time,1,30,10,112.030,11.203,4.990,26.910
run,HYBRID,HYBRID,HYBRID-3,total_time,1,30,10,151.720,15.172,4.930,36.190
run,NEAREST,NEAREST,4,delivery_time,,,10,56.100,5.610,1.890,17.020
run,NEAREST,NEAREST,4,return_time,,,9,44.220,4.913,0.030,9.730
run,NEAREST,NEAREST,4,wait_time,,,10,56.420,5.642,1.920,17.060
run,NEAREST,NEAREST,5,delivery_time,,,10,69.640,6.964,2.910,17.570
run,NEAREST,NEAREST,5,return_time,,,9,69.730,7.748,1.120,18.370
run,NEAREST,NEAREST,5,wait_time,,,10,91.550,9.155,2.940,24.860
run,NEAREST,NEAREST,6,delivery_time,,,10,80.040,8.004,2.850,22.340
run,NEAREST,NEAREST,6,return_time,,,10,90.240,9.024,1.090,34.750
run,NEAREST,NEAREST,6,wait_time,,,10,131.230,13.123,2.880,34.140
run,NEAREST,NEAREST,NEAREST-1,total_time,,,10,76.900,7.690,3.970,19.100
run,NEAREST,NEAREST,NEAREST-2,total_time,,,10,112.030,11.203,4.990,26.910
run,NEAREST,NEAREST,NEAREST-3,total_time,,,10,151.720,15.172,4.930,36.190
