metric,policy,run,table,source_log,line,avg,avg_speed,completed,completed_at,count,delivery,distance,dynamic_environment,experiment_label,experiment_mode,first_period,hybrid_distance_weight,hybrid_wait_weight,map_id,max_completed,max_period,max_sim_time,min_period,pending_wait,rate,repeat,requested_at,return,seed,stop_at,stop_delay,time,total,wait
wait_time,FIFO,1,T1,FIFO-1.log,34,2.40s,,,,,,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,,1,,,1001,,5,,,2.40s
delivery_time,FIFO,1,T1,FIFO-1.log,35,,,,,,2.37s,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,,1,,,1001,,5,,,
total_time,FIFO,FIFO-1,T1,FIFO-1.log,41,,,,9.47,1,,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,,1,5.02,,1001,,5,,4.45s,
return_time,FIFO,1,T1,FIFO-1.log,54,,,,,,,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,,1,,3.68s,1001,,5,,,
success_rate,FIFO,1,,FIFO-1.log,55,,,1,,,,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,1.00,1,,,1001,,5,,1,
mission,FIFO,1,,FIFO-1.log,56,,0.015,,,,,0.122,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,,1,,,1001,,5,8.06s,,
wait_time,FIFO,1,T2,FIFO-1.log,94,2.43s,,,,,,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,,1,,,1001,,5,,,2.46s
delivery_time,FIFO,1,T2,FIFO-1.log,95,,,,,,2.43s,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,,1,,,1001,,5,,,
total_time,FIFO,FIFO-1,T2,FIFO-1.log,101,,,,42.14,2,,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,,1,37.63,,1001,,5,,4.51s,
return_time,FIFO,1,T2,FIFO-1.log,110,,,,,,,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,,1,,0.03s,1001,,5,,,
success_rate,FIFO,1,,FIFO-1.log,111,,,2,,,,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,1.00,1,,,1001,,5,,2,
mission,FIFO,1,,FIFO-1.log,112,,0.013,,,,,0.056,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,,1,,,1001,,5,4.48s,,
wait_time,FIFO,1,T1,FIFO-1.log,155,2.44s,,,,,,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,,1,,,1001,,5,,,2.46s
delivery_time,FIFO,1,T1,FIFO-1.log,156,,,,,,2.43s,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,,1,,,1001,,5,,,
total_time,FIFO,FIFO-1,T1,FIFO-1.log,164,,,,75.78,3,,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,,1,71.26,,1001,,5,,4.51s,
return_time,FIFO,1,T1,FIFO-1.log,174,,,,,,,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,,1,,2.85s,1001,,5,,,
success_rate,FIFO,1,,FIFO-1.log,175,,,3,,,,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,1.00,1,,,1001,,5,,3,
mission,FIFO,1,,FIFO-1.log,176,,0.008,,,,,0.058,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,,1,,,1001,,5,7.30s,,
wait_time,FIFO,1,T4,FIFO-1.log,232,5.62s,,,,,,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,,1,,,1001,,5,,,15.14s
delivery_time,FIFO,1,T4,FIFO-1.log,233,,,,,,15.10s,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,,1,,,1001,,5,,,
total_time,FIFO,FIFO-1,T4,FIFO-1.log,241,,,,119.01,4,,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,,1,101.82,,1001,,5,,17.18s,
return_time,FIFO,1,T4,FIFO-1.log,274,,,,,,,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,,1,,16.19s,1001,,5,,,
success_rate,FIFO,1,,FIFO-1.log,275,,,4,,,,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,1.00,1,,,1001,,5,,4,
mission,FIFO,1,,FIFO-1.log,276,,0.026,,,,,0.860,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,,1,,,1001,,5,33.31s,,
wait_time,FIFO,1,T4,FIFO-1.log,309,7.69s,,,,,,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,,1,,,1001,,5,,,16.00s
delivery_time,FIFO,1,T4,FIFO-1.log,310,,,,,,15.52s,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,,1,,,1001,,5,,,
total_time,FIFO,FIFO-1,T4,FIFO-1.log,318,,,,152.74,5,,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,,1,134.69,,1001,,5,,18.05s,
return_time,FIFO,1,T4,FIFO-1.log,351,,,,,,,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,,1,,16.51s,1001,,5,,,
success_rate,FIFO,1,,FIFO-1.log,352,,,5,,,,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,1.00,1,,,1001,,5,,5,
mission,FIFO,1,,FIFO-1.log,353,,0.025,,,,,0.842,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,,1,,,1001,,5,34.05s,,
wait_time,FIFO,1,T5,FIFO-1.log,386,9.32s,,,,,,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,,1,,,1001,,5,,,17.47s
delivery_time,FIFO,1,T5,FIFO-1.log,387,,,,,,15.17s,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,,1,,,1001,,5,,,
total_time,FIFO,FIFO-1,T5,FIFO-1.log,395,,,,186.43,6,,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,,1,166.91,,1001,,5,,19.52s,
return_time,FIFO,1,T5,FIFO-1.log,427,,,,,,,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,,1,,15.33s,1001,,5,,,
success_rate,FIFO,1,,FIFO-1.log,428,,,6,,,,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,1.00,1,,,1001,,5,,6,
mission,FIFO,1,,FIFO-1.log,429,,0.026,,,,,0.848,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,,1,,,1001,,5,32.51s,,
wait_time,FIFO,1,T4,FIFO-1.log,462,10.66s,,,,,,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,,1,,,1001,,5,,,18.66s
delivery_time,FIFO,1,T4,FIFO-1.log,463,,,,,,15.36s,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,,1,,,1001,,5,,,
total_time,FIFO,FIFO-1,T4,FIFO-1.log,471,,,,219.14,7,,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,,1,198.43,,1001,,5,,20.70s,
return_time,FIFO,1,T4,FIFO-1.log,504,,,,,,,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,,1,,16.42s,1001,,5,,,
success_rate,FIFO,1,,FIFO-1.log,505,,,7,,,,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,1.00,1,,,1001,,5,,7,
mission,FIFO,1,,FIFO-1.log,506,,0.025,,,,,0.842,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,,1,,,1001,,5,33.79s,,
wait_time,FIFO,1,T2,FIFO-1.log,517,9.86s,,,,,,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,,1,,,1001,,5,,,4.29s
delivery_time,FIFO,1,T2,FIFO-1.log,518,,,,,,0.03s,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,,1,,,1001,,5,,,
total_time,FIFO,FIFO-1,T2,FIFO-1.log,526,,,,237.60,8,,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,,1,231.26,,1001,,5,,6.34s,
return_time,FIFO,1,T2,FIFO-1.log,533,,,,,,,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,,1,,0.03s,1001,,5,,,
success_rate,FIFO,1,,FIFO-1.log,534,,,8,,,,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,1.00,1,,,1001,,5,,8,
mission,FIFO,1,,FIFO-1.log,535,,0.000,,,,,0.000,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,,1,,,1001,,5,2.08s,,
wait_time,FIFO,1,T1,FIFO-1.log,576,9.34s,,,,,,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,,1,,,1001,,5,,,5.15s
delivery_time,FIFO,1,T1,FIFO-1.log,577,,,,,,5.12s,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,,1,,,1001,,5,,,
total_time,FIFO,FIFO-1,T1,FIFO-1.log,585,,,,269.57,9,,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,,1,262.37,,1001,,5,,7.20s,
return_time,FIFO,1,T1,FIFO-1.log,597,,,,,,,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,,1,,5.25s,1001,,5,,,
success_rate,FIFO,1,,FIFO-1.log,598,,,9,,,,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,1.00,1,,,1001,,5,,9,
mission,FIFO,1,,FIFO-1.log,599,,0.016,,,,,0.202,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,,1,,,1001,,5,12.38s,,
wait_time,FIFO,1,T6,FIFO-1.log,688,11.85s,,,,,,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,,1,,,1001,,5,,,34.43s
delivery_time,FIFO,1,T6,FIFO-1.log,689,,,,,,34.40s,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,,1,,,1001,,5,,,
total_time,FIFO,FIFO-1,T6,FIFO-1.log,697,,,,324.16,10,,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,,,1,287.68,,1001,,5,,36.48s,
pending_wait,FIFO,FIFO-1,T4,FIFO-1.log,699,,,,,,,,false,FIFO,EXP1,5,30,1,map2,10,35,420,25,4.00s,,1,320.16,,1001,324.16,5,,,
