rank_by_fair_wait,rank_by_mean_wait,policy,experiment_label,hybrid_wait_weight,hybrid_distance_weight,max_wait_weight,fair_wait_objective,wait_time_count,wait_time_total,wait_time_mean,wait_time_max,total_time_mean,total_time_max,return_time_mean,return_time_max
1,1,NEAREST,NEAREST,,,0.250,45.965,6,166.260,27.710,73.020,29.760,75.070,13.452,23.070
2,2,HYBRID,HYBRID_w1_d30,1,30,0.250,53.790,5,168.190,33.638,80.610,35.688,82.660,18.270,23.070
3,3,HYBRID,HYBRID_w1_d40,1,40,0.250,53.790,5,168.190,33.638,80.610,35.688,82.660,18.270,23.070
4,4,FIFO,FIFO,,,0.250,59.379,5,196.130,39.226,80.610,41.274,82.660,18.270,23.070
5,5,HYBRID,HYBRID_w1_d20,1,20,0.250,59.379,5,196.130,39.226,80.610,41.274,82.660,18.270,23.070
6,6,HYBRID,HYBRID_w1p5_d20,1.5,20,0.250,59.379,5,196.130,39.226,80.610,41.274,82.660,18.270,23.070
7,7,HYBRID,HYBRID_w1p5_d30,1.5,30,0.250,59.379,5,196.130,39.226,80.610,41.274,82.660,18.270,23.070
8,8,HYBRID,HYBRID_w1p5_d40,1.5,40,0.250,59.379,5,196.130,39.226,80.610,41.274,82.660,18.270,23.070
9,9,HYBRID,HYBRID_w2_d20,2,20,0.250,59.379,5,196.130,39.226,80.610,41.274,82.660,18.270,23.070
10,10,HYBRID,HYBRID_w2_d30,2,30,0.250,59.379,5,196.130,39.226,80.610,41.274,82.660,18.270,23.070
11,11,HYBRID,HYBRID_w2_d40,2,40,0.250,59.379,5,196.130,39.226,80.610,41.274,82.660,18.270,23.070
12,12,HYBRID,HYBRID_w3_d20,3,20,0.250,59.379,5,196.130,39.226,80.610,41.274,82.660,18.270,23.070
13,13,HYBRID,HYBRID_w3_d30,3,30,0.250,59.379,5,196.130,39.226,80.610,41.274,82.660,18.270,23.070
14,14,HYBRID,HYBRID_w3_d40,3,40,0.250,59.379,5,196.130,39.226,80.610,41.274,82.660,18.270,23.070
