scope,policy,experiment_label,run,metric,hybrid_wait_weight,hybrid_distance_weight,count,total,mean,min,max
experiment,FIFO,FIFO,ALL,return_time,,,3,54.810,18.270,12.220,23.070
experiment,FIFO,FIFO,ALL,total_time,,,5,206.370,41.274,9.920,82.660
experiment,FIFO,FIFO,ALL,wait_time,,,5,196.130,39.226,7.870,80.610
experiment,HYBRID,HYBRID_w1_d20,ALL,return_time,1,20,3,54.810,18.270,12.220,23.070
experiment,HYBRID,HYBRID_w1_d20,ALL,total_time,1,20,5,206.370,41.274,9.920,82.660
experiment,HYBRID,HYBRID_w1_d20,ALL,wait_time,1,20,5,196.130,39.226,7.870,80.610
experiment,HYBRID,HYBRID_w1_d30,ALL,return_time,1,30,3,54.810,18.270,12.220,23.070
experiment,HYBRID,HYBRID_w1_d30,ALL,total_time,1,30,5,178.440,35.688,9.920,82.660
experiment,HYBRID,HYBRID_w1_d30,ALL,wait_time,1,30,5,168.190,33.638,7.870,80.610
experiment,HYBRID,HYBRID_w1_d40,ALL,return_time,1,40,3,54.810,18.270,12.220,23.070
experiment,HYBRID,HYBRID_w1_d40,ALL,total_time,1,40,5,178.440,35.688,9.920,82.660
experiment,HYBRID,HYBRID_w1_d40,ALL,wait_time,1,40,5,168.190,33.638,7.870,80.610
experiment,HYBRID,HYBRID_w1p5_d20,ALL,return_time,1.5,20,3,54.810,18.270,12.220,23.070
experiment,HYBRID,HYBRID_w1p5_d20,ALL,total_time,1.5,20,5,206.370,41.274,9.920,82.660
experiment,HYBRID,HYBRID_w1p5_d20,ALL,wait_time,1.5,20,5,196.130,39.226,7.870,80.610
experiment,HYBRID,HYBRID_w1p5_d30,ALL,return_time,1.5,30,3,54.810,18.270,12.220,23.070
experiment,HYBRID,HYBRID_w1p5_d30,ALL,total_time,1.5,30,5,206.370,41.274,9.920,82.660
experiment,HYBRID,HYBRID_w1p5_d30,ALL,wait_time,1.5,30,5,196.130,39.226,7.870,80.610
experiment,HYBRID,HYBRID_w1p5_d40,ALL,return_time,1.5,40,3,54.810,18.270,12.220,23.070
experiment,HYBRID,HYBRID_w1p5_d40,ALL,total_time,1.5,40,5,206.370,41.274,9.920,82.660
experiment,HYBRID,HYBRID_w1p5_d40,ALL,wait_time,1.5,40,5,196.130,39.226,7.870,80.610
experiment,HYBRID,HYBRID_w2_d20,ALL,return_time,2,20,3,54.810,18.270,12.220,23.070
experiment,HYBRID,HYBRID_w2_d20,ALL,total_time,2,20,5,206.370,41.274,9.920,82.660
experiment,HYBRID,HYBRID_w2_d20,ALL,wait_time,2,20,5,196.130,39.226,7.870,80.610
experiment,HYBRID,HYBRID_w2_d30,ALL,return_time,2,30,3,54.810,18.270,12.220,23.070
experiment,HYBRID,HYBRID_w2_d30,ALL,total_time,2,30,5,206.370,41.274,9.920,82.660
experiment,HYBRID,HYBRID_w2_d30,ALL,wait_time,2,30,5,196.130,39.226,7.870,80.610
experiment,HYBRID,HYBRID_w2_d40,ALL,return_time,2,40,3,54.810,18.270,12.220,23.070
experiment,HYBRID,HYBRID_w2_d40,ALL,total_time,2,40,5,206.370,41.274,9.920,82.660
experiment,HYBRID,HYBRID_w2_d40,ALL,wait_time,2,40,5,196.130,39.226,7.870,80.610
experiment,HYBRID,HYBRID_w3_d20,ALL,return_time,3,20,3,54.810,18.270,12.220,23.070
experiment,HYBRID,HYBRID_w3_d20,ALL,total_time,3,20,5,206.370,41.274,9.920,82.660
experiment,HYBRID,HYBRID_w3_d20,ALL,wait_time,3,20,5,196.130,39.226,7.870,80.610
experiment,HYBRID,HYBRID_w3_d30,ALL,return_time,3,30,3,54.810,18.270,12.220,23.070
experiment,HYBRID,HYBRID_w3_d30,ALL,total_time,3,30,5,206.370,41.274,9.920,82.660
