experiment_label,policy,repeat,run,seed,max_completed,max_sim_time,stop_delay,first_period,min_period,max_period,hybrid_wait_weight,hybrid_distance_weight,log
FIFO,FIFO,1,FIFO-r1,2001,3,180,10,5,8,16,1,0,FIFO-r1.log
FIFO,FIFO,2,FIFO-r2,2002,3,180,10,5,8,16,1,0,FIFO-r2.log
NEAREST,NEAREST,1,NEAREST-r1,2001,3,180,10,5,8,16,1,0,NEAREST-r1.log
NEAREST,NEAREST,2,NEAREST-r2,2002,3,180,10,5,8,16,1,0,NEAREST-r2.log
HYBRID_w1_d20,HYBRID,1,HYBRID_w1_d20-r1,2001,3,180,10,5,8,16,1,20,HYBRID_w1_d20-r1.log
HYBRID_w1_d20,HYBRID,2,HYBRID_w1_d20-r2,2002,3,180,10,5,8,16,1,20,HYBRID_w1_d20-r2.log
HYBRID_w1_d30,HYBRID,1,HYBRID_w1_d30-r1,2001,3,180,10,5,8,16,1,30,HYBRID_w1_d30-r1.log
HYBRID_w1_d30,HYBRID,2,HYBRID_w1_d30-r2,2002,3,180,10,5,8,16,1,30,HYBRID_w1_d30-r2.log
HYBRID_w1_d40,HYBRID,1,HYBRID_w1_d40-r1,2001,3,180,10,5,8,16,1,40,HYBRID_w1_d40-r1.log
HYBRID_w1_d40,HYBRID,2,HYBRID_w1_d40-r2,2002,3,180,10,5,8,16,1,40,HYBRID_w1_d40-r2.log
HYBRID_w1p5_d20,HYBRID,1,HYBRID_w1p5_d20-r1,2001,3,180,10,5,8,16,1.5,20,HYBRID_w1p5_d20-r1.log
HYBRID_w1p5_d20,HYBRID,2,HYBRID_w1p5_d20-r2,2002,3,180,10,5,8,16,1.5,20,HYBRID_w1p5_d20-r2.log
HYBRID_w1p5_d30,HYBRID,1,HYBRID_w1p5_d30-r1,2001,3,180,10,5,8,16,1.5,30,HYBRID_w1p5_d30-r1.log
HYBRID_w1p5_d30,HYBRID,2,HYBRID_w1p5_d30-r2,2002,3,180,10,5,8,16,1.5,30,HYBRID_w1p5_d30-r2.log
HYBRID_w1p5_d40,HYBRID,1,HYBRID_w1p5_d40-r1,2001,3,180,10,5,8,16,1.5,40,HYBRID_w1p5_d40-r1.log
HYBRID_w1p5_d40,HYBRID,2,HYBRID_w1p5_d40-r2,2002,3,180,10,5,8,16,1.5,40,HYBRID_w1p5_d40-r2.log
HYBRID_w2_d20,HYBRID,1,HYBRID_w2_d20-r1,2001,3,180,10,5,8,16,2,20,HYBRID_w2_d20-r1.log
HYBRID_w2_d20,HYBRID,2,HYBRID_w2_d20-r2,2002,3,180,10,5,8,16,2,20,HYBRID_w2_d20-r2.log
HYBRID_w2_d30,HYBRID,1,HYBRID_w2_d30-r1,2001,3,180,10,5,8,16,2,30,HYBRID_w2_d30-r1.log
HYBRID_w2_d30,HYBRID,2,HYBRID_w2_d30-r2,2002,3,180,10,5,8,16,2,30,HYBRID_w2_d30-r2.log
HYBRID_w2_d40,HYBRID,1,HYBRID_w2_d40-r1,2001,3,180,10,5,8,16,2,40,HYBRID_w2_d40-r1.log
HYBRID_w2_d40,HYBRID,2,HYBRID_w2_d40-r2,2002,3,180,10,5,8,16,2,40,HYBRID_w2_d40-r2.log
HYBRID_w3_d20,HYBRID,1,HYBRID_w3_d20-r1,2001,3,180,10,5,8,16,3,20,HYBRID_w3_d20-r1.log
HYBRID_w3_d20,HYBRID,2,HYBRID_w3_d20-r2,2002,3,180,10,5,8,16,3,20,HYBRID_w3_d20-r2.log
HYBRID_w3_d30,HYBRID,1,HYBRID_w3_d30-r1,2001,3,180,10,5,8,16,3,30,HYBRID_w3_d30-r1.log
HYBRID_w3_d30,HYBRID,2,HYBRID_w3_d30-r2,2002,3,180,10,5,8,16,3,30,HYBRID_w3_d30-r2.log
HYBRID_w3_d40,HYBRID,1,HYBRID_w3_d40-r1,2001,3,180,10,5,8,16,3,40,HYBRID_w3_d40-r1.log
HYBRID_w3_d40,HYBRID,2,HYBRID_w3_d40-r2,2002,3,180,10,5,8,16,3,40,HYBRID_w3_d40-r2.log
