metric,policy,run,table,source_log,line,avg,base_at,completed_at,count,done_at,max,requested_at,return,served_at,total,wait
wait_time,FIFO,FIFO-1,T1,FIFO-1.log,197,11.62s,,,1,,11.62s,5.02,,16.64,,11.62s
total_time,FIFO,FIFO-1,T1,FIFO-1.log,223,,,18.69,1,,,5.02,,,13.66s,
return_time,FIFO,FIFO-1,T1,FIFO-1.log,459,19.68s,38.34,,1,18.66,19.68s,,19.68s,,,
wait_time,FIFO,FIFO-1,T2,FIFO-1.log,648,23.20s,,,2,,34.78s,19.14,,53.92,,34.78s
total_time,FIFO,FIFO-1,T2,FIFO-1.log,676,,,55.97,2,,,19.14,,,36.83s,
return_time,FIFO,FIFO-1,T2,FIFO-1.log,723,11.98s,60.22,,2,55.94,19.68s,,4.29s,,,
wait_time,HYBRID,HYBRID-1,T1,HYBRID-1.log,197,11.62s,,,1,,11.62s,5.02,,16.64,,11.62s
total_time,HYBRID,HYBRID-1,T1,HYBRID-1.log,225,,,18.69,1,,,5.02,,,13.66s,
return_time,HYBRID,HYBRID-1,T1,HYBRID-1.log,459,19.68s,38.34,,1,18.66,19.68s,,19.68s,,,
wait_time,HYBRID,HYBRID-1,T2,HYBRID-1.log,648,23.20s,,,2,,34.78s,19.14,,53.92,,34.78s
total_time,HYBRID,HYBRID-1,T2,HYBRID-1.log,676,,,55.97,2,,,19.14,,,36.83s,
return_time,HYBRID,HYBRID-1,T2,HYBRID-1.log,723,11.98s,60.22,,2,55.94,19.68s,,4.29s,,,
wait_time,NEAREST,NEAREST-1,T1,NEAREST-1.log,197,11.62s,,,1,,11.62s,5.02,,16.64,,11.62s
total_time,NEAREST,NEAREST-1,T1,NEAREST-1.log,225,,,18.69,1,,,5.02,,,13.66s,
return_time,NEAREST,NEAREST-1,T1,NEAREST-1.log,459,19.68s,38.34,,1,18.66,19.68s,,19.68s,,,
wait_time,NEAREST,NEAREST-1,T2,NEAREST-1.log,648,23.20s,,,2,,34.78s,19.14,,53.92,,34.78s
total_time,NEAREST,NEAREST-1,T2,NEAREST-1.log,676,,,55.97,2,,,19.14,,,36.83s,
return_time,NEAREST,NEAREST-1,T2,NEAREST-1.log,723,11.98s,60.22,,2,55.94,19.68s,,4.29s,,,
