metric,policy,run,table,source_log,line,avg,base_at,completed_at,count,done_at,experiment_label,first_period,hybrid_distance_weight,hybrid_wait_weight,max,max_completed,max_period,max_sim_time,min_period,pending_wait,repeat,requested_at,return,seed,served_at,stop_at,stop_delay,total,wait
wait_time,FIFO,FIFO-1,T1,FIFO-1.log,199,11.62s,,,1,,FIFO,5,30,1,11.62s,10,16,420,8,,1,5.02,,1001,16.64,,5,,11.62s
total_time,FIFO,FIFO-1,T1,FIFO-1.log,227,,,18.69,1,,FIFO,5,30,1,,10,16,420,8,,1,5.02,,1001,,,5,13.66s,
return_time,FIFO,FIFO-1,T1,FIFO-1.log,987,64.90s,83.55,,1,18.66,FIFO,5,30,1,64.90s,10,16,420,8,,1,,64.90s,1001,,,5,,
wait_time,FIFO,FIFO-1,T2,FIFO-1.log,1039,40.13s,,,2,,FIFO,5,30,1,68.64s,10,16,420,8,,1,19.14,,1001,87.78,,5,,68.64s
total_time,FIFO,FIFO-1,T2,FIFO-1.log,1070,,,89.82,2,,FIFO,5,30,1,,10,16,420,8,,1,19.14,,1001,,,5,70.69s,
return_time,FIFO,FIFO-1,T2,FIFO-1.log,1252,40.74s,106.37,,2,89.79,FIFO,5,30,1,64.90s,10,16,420,8,,1,,16.58s,1001,,,5,,
wait_time,FIFO,FIFO-1,T1,FIFO-1.log,1575,60.60s,,,3,,FIFO,5,30,1,101.54s,10,16,420,8,,1,34.05,,1001,135.58,,5,,101.54s
total_time,FIFO,FIFO-1,T1,FIFO-1.log,1601,,,137.63,3,,FIFO,5,30,1,,10,16,420,8,,1,34.05,,1001,,,5,103.58s,
return_time,FIFO,FIFO-1,T1,FIFO-1.log,1854,34.43s,159.42,,3,137.60,FIFO,5,30,1,64.90s,10,16,420,8,,1,,21.82s,1001,,,5,,
wait_time,FIFO,FIFO-1,T6,FIFO-1.log,2214,81.50s,,,4,,FIFO,5,30,1,144.22s,10,16,420,8,,1,46.50,,1001,190.72,,5,,144.22s
total_time,FIFO,FIFO-1,T6,FIFO-1.log,2242,,,192.77,4,,FIFO,5,30,1,,10,16,420,8,,1,46.50,,1001,,,5,146.27s,
return_time,FIFO,FIFO-1,T6,FIFO-1.log,2556,33.08s,221.76,,4,192.74,FIFO,5,30,1,64.90s,10,16,420,8,,1,,29.02s,1001,,,5,,
wait_time,FIFO,FIFO-1,T4,FIFO-1.log,2765,100.81s,,,5,,FIFO,5,30,1,178.02s,10,16,420,8,,1,60.80,,1001,238.82,,5,,178.02s
total_time,FIFO,FIFO-1,T4,FIFO-1.log,2791,,,240.86,5,,FIFO,5,30,1,,10,16,420,8,,1,60.80,,1001,,,5,180.06s,
return_time,FIFO,FIFO-1,T4,FIFO-1.log,2975,29.82s,257.63,,5,240.83,FIFO,5,30,1,64.90s,10,16,420,8,,1,,16.80s,1001,,,5,,
wait_time,FIFO,FIFO-1,T5,FIFO-1.log,3093,116.11s,,,6,,FIFO,5,30,1,192.64s,10,16,420,8,,1,74.59,,1001,267.23,,5,,192.64s
total_time,FIFO,FIFO-1,T5,FIFO-1.log,3121,,,269.28,6,,FIFO,5,30,1,,10,16,420,8,,1,74.59,,1001,,,5,194.69s,
return_time,FIFO,FIFO-1,T5,FIFO-1.log,3235,26.51s,279.17,,6,269.25,FIFO,5,30,1,64.90s,10,16,420,8,,1,,9.92s,1001,,,5,,
wait_time,FIFO,FIFO-1,T3,FIFO-1.log,3465,129.60s,,,7,,FIFO,5,30,1,210.53s,10,16,420,8,,1,88.86,,1001,299.39,,5,,210.53s
total_time,FIFO,FIFO-1,T3,FIFO-1.log,3493,,,301.44,7,,FIFO,5,30,1,,10,16,420,8,,1,88.86,,1001,,,5,212.58s,
return_time,FIFO,FIFO-1,T3,FIFO-1.log,3878,27.64s,335.84,,7,301.41,FIFO,5,30,1,64.90s,10,16,420,8,,1,,34.43s,1001,,,5,,
wait_time,FIFO,FIFO-1,T2,FIFO-1.log,3930,143.22s,,,8,,FIFO,5,30,1,238.53s,10,16,420,8,,1,101.73,,1001,340.26,,5,,238.53s
total_time,FIFO,FIFO-1,T2,FIFO-1.log,3958,,,342.30,8,,FIFO,5,30,1,,10,16,420,8,,1,101.73,,1001,,,5,240.58s,
return_time,FIFO,FIFO-1,T2,FIFO-1.log,4185,26.67s,362.14,,8,342.27,FIFO,5,30,1,64.90s,10,16,420,8,,1,,19.87s,1001,,,5,,
wait_time,FIFO,FIFO-1,T1,FIFO-1.log,4304,153.20s,,,9,,FIFO,5,30,1,238.53s,10,16,420,8,,1,139.58,,1001,372.64,,5,,233.06s
total_time,FIFO,FIFO-1,T1,FIFO-1.log,4332,,,374.69,9,,FIFO,5,30,1,,10,16,420,8,,1,139.58,,1001,,,5,235.10s,
wait_time,FIFO,FIFO-2,T5,FIFO-2.log,176,8.93s,,,1,,FIFO,5,30,1,8.93s,10,16,420,8,,2,5.02,,1002,13.95,,5,,8.93s
total_time,FIFO,FIFO-2,T5,FIFO-2.log,202,,,16.00,1,,FIFO,5,30,1,,10,16,420,8,,2,5.02,,1002,,,5,10.98s,
return_time,FIFO,FIFO-2,T5,FIFO-2.log,484,24.26s,40.22,,1,15.97,FIFO,5,30,1,24.26s,10,16,420,8,,2,,24.26s,1002,,,5,,
wait_time,FIFO,FIFO-2,T2,FIFO-2.log,808,29.47s,,,2,,FIFO,5,30,1,50.02s,10,16,420,8,,2,17.79,,1002,67.81,,5,,50.02s
total_time,FIFO,FIFO-2,T2,FIFO-2.log,834,,,69.86,2,,FIFO,5,30,1,,10,16,420,8,,2,17.79,,1002,,,5,52.06s,
