scope,policy,experiment_label,run,metric,hybrid_wait_weight,hybrid_distance_weight,count,total,mean,min,max
experiment,FIFO,FIFO,ALL,pending_wait,,,10,1113.820,111.382,14.240,228.930
experiment,FIFO,FIFO,ALL,return_time,,,26,559.400,21.515,5.250,64.900
experiment,FIFO,FIFO,ALL,total_time,,,29,3744.090,129.107,8.000,267.040
experiment,FIFO,FIFO,ALL,wait_time,,,29,3684.730,127.060,5.950,264.990
experiment,HYBRID,HYBRID,ALL,pending_wait,1,30,10,1217.300,121.730,20.700,228.350
experiment,HYBRID,HYBRID,ALL,return_time,1,30,26,503.460,19.364,5.250,64.900
experiment,HYBRID,HYBRID,ALL,total_time,1,30,29,3480.510,120.018,8.000,240.580
experiment,HYBRID,HYBRID,ALL,wait_time,1,30,29,3421.130,117.970,5.950,238.530
experiment,NEAREST,NEAREST,ALL,pending_wait,,,15,2846.520,189.768,6.910,307.070
experiment,NEAREST,NEAREST,ALL,return_time,,,27,459.420,17.016,5.250,64.900
experiment,NEAREST,NEAREST,ALL,total_time,,,30,1103.570,36.786,8.000,302.300
experiment,NEAREST,NEAREST,ALL,wait_time,,,30,1042.180,34.739,5.950,300.260
policy,FIFO,FIFO,ALL,pending_wait,,,10,1113.820,111.382,14.240,228.930
policy,FIFO,FIFO,ALL,return_time,,,26,559.400,21.515,5.250,64.900
policy,FIFO,FIFO,ALL,total_time,,,29,3744.090,129.107,8.000,267.040
policy,FIFO,FIFO,ALL,wait_time,,,29,3684.730,127.060,5.950,264.990
policy,HYBRID,HYBRID,ALL,pending_wait,1,30,10,1217.300,121.730,20.700,228.350
policy,HYBRID,HYBRID,ALL,return_time,1,30,26,503.460,19.364,5.250,64.900
policy,HYBRID,HYBRID,ALL,total_time,1,30,29,3480.510,120.018,8.000,240.580
policy,HYBRID,HYBRID,ALL,wait_time,1,30,29,3421.130,117.970,5.950,238.530
policy,NEAREST,NEAREST,ALL,pending_wait,,,15,2846.520,189.768,6.910,307.070
policy,NEAREST,NEAREST,ALL,return_time,,,27,459.420,17.016,5.250,64.900
policy,NEAREST,NEAREST,ALL,total_time,,,30,1103.570,36.786,8.000,302.300
policy,NEAREST,NEAREST,ALL,wait_time,,,30,1042.180,34.739,5.950,300.260
run,FIFO,FIFO,FIFO-1,return_time,,,8,213.340,26.668,9.920,64.900
run,FIFO,FIFO,FIFO-1,total_time,,,9,1397.210,155.246,13.660,240.580
run,FIFO,FIFO,FIFO-1,wait_time,,,9,1378.800,153.200,11.620,238.530
run,FIFO,FIFO,FIFO-2,pending_wait,,,5,576.070,115.214,14.240,228.930
run,FIFO,FIFO,FIFO-2,return_time,,,9,177.290,19.699,5.250,61.860
run,FIFO,FIFO,FIFO-2,total_time,,,10,1355.810,135.581,10.980,267.040
run,FIFO,FIFO,FIFO-2,wait_time,,,10,1335.340,133.534,8.930,264.990
run,FIFO,FIFO,FIFO-3,pending_wait,,,5,537.750,107.550,25.920,202.140
run,FIFO,FIFO,FIFO-3,return_time,,,9,168.770,18.752,8.160,32.450
run,FIFO,FIFO,FIFO-3,total_time,,,10,991.070,99.107,8.000,212.700
run,FIFO,FIFO,FIFO-3,wait_time,,,10,970.590,97.059,5.950,210.660
run,HYBRID,HYBRID,HYBRID-1,return_time,1,30,8,213.340,26.668,9.920,64.900
run,HYBRID,HYBRID,HYBRID-1,total_time,1,30,9,1397.210,155.246,13.660,240.580
run,HYBRID,HYBRID,HYBRID-1,wait_time,1,30,9,1378.800,153.200,11.620,238.530
run,HYBRID,HYBRID,HYBRID-2,pending_wait,1,30,5,525.370,105.074,22.240,177.020
run,HYBRID,HYBRID,HYBRID-2,return_time,1,30,9,135.880,15.098,5.250,25.540
run,HYBRID,HYBRID,HYBRID-2,total_time,1,30,10,1090.660,109.066,10.980,215.140
run,HYBRID,HYBRID,HYBRID-2,wait_time,1,30,10,1070.180,107.018,8.930,213.090
run,HYBRID,HYBRID,HYBRID-3,pending_wait,1,30,5,691.930,138.386,20.700,228.350
run,HYBRID,HYBRID,HYBRID-3,return_time,1,30,9,154.240,17.138,8.160,25.310
run,HYBRID,HYBRID,HYBRID-3,total_time,1,30,10,992.640,99.264,8.000,238.910
run,HYBRID,HYBRID,HYBRID-3,wait_time,1,30,10,972.150,97.215,5.950,236.860
run,NEAREST,NEAREST,NEAREST-1,pending_wait,,,5,1130.240,226.048,198.140,252.960
run,NEAREST,NEAREST,NEAREST-1,return_time,,,9,194.270,21.586,5.660,64.900
run,NEAREST,NEAREST,NEAREST-1,total_time,,,10,229.110,22.911,8.860,70.690
run,NEAREST,NEAREST,NEAREST-1,wait_time,,,10,208.660,20.866,6.820,68.640
run,NEAREST,NEAREST,NEAREST-2,pending_wait,,,5,1152.990,230.598,11.100,307.070
run,NEAREST,NEAREST,NEAREST-2,return_time,,,9,146.180,16.242,5.250,26.270
run,NEAREST,NEAREST,NEAREST-2,total_time,,,10,593.590,59.359,10.980,302.300
run,NEAREST,NEAREST,NEAREST-2,wait_time,,,10,573.130,57.313,8.930,300.260
run,NEAREST,NEAREST,NEAREST-3,pending_wait,,,5,563.290,112.658,6.910,166.180
run,NEAREST,NEAREST,NEAREST-3,return_time,,,9,118.970,13.219,5.730,25.280
run,NEAREST,NEAREST,NEAREST-3,total_time,,,10,280.870,28.087,8.000,78.270
run,NEAREST,NEAREST,NEAREST-3,wait_time,,,10,260.390,26.039,5.950,76.220
